('3991', '3', '4', '480000019', '243', '223'),
('486', '418', '123', '79000001', '219008', '0'),
('2173', '11', '25', '719999981', '772', '83'),
('3727', '79', '156', '59000001', '32399', '0'),
('3263', '90', '145', '50999999', '33042', '0'),
('818', '174', '74', '75', '26513', '0'),
('1441', '734', '212', '55', '98535', '0'),
('4872', '156', '263', '669999981', '31359', '0'),
('594', '24', '10', '580000019', '3013', '344'),
('3431', '641', '350', '669999981', '361924', '0'),
('3827', '266', '264', '730000019', '75306', '48000'),
('3495', '84', '101', '379999995', '12399', '0'),
('1068', '98', '73', '530000019', '74343', '694'),
('1125', '274', '108', '60', '81611', '0'),
('2661', '188', '132', '619999981', '20000', '0'),
('1255', '549', '140', '74000001', '100743', '0'),
('155', '36', '13', '69000001', '2603', '608'),
('850', '224', '85', '780000019', '30618', '0'),
('2601', '646', '230', '75999999', '273108', '0'),
('775', '76', '45', '65999999', '9105', '0'),
('399', '692', '204', '810000038', '600266', '13000'),
('3445', '8', '35', '580000019', '463', '594'),
('2397', '70', '110', '780000019', '9037', '0'),
('3594', '22', '42', '39000001', '1328', '0'),
('1264', '602', '150', '70', '203269', '11000'),
('80', '167', '100', '80', '62860', '0'),
('3478', '250', '298', '55999999', '40776', '10000'),
('3834', '226', '174', '580000019', '30511', '0'),
('3615', '176', '225', '60999999', '28483', '0'),
('2803', '12', '35', '619999981', '1656', '155'),
('987', '488', '195', '60999999', '124941', '0'),
('4429', '1097', '653', '810000038', '682155', '96000'),
('4953', '', '', '719999981', '18', '0'),
('3159', '365', '275', '719999981', '198111', '14000'),
('342', '87', '44', '619999981', '15345', '0'),
('4506', '154', '175', '55', '54501', '16000'),
('929', '470', '156', '769999981', '224671', '11000'),
('2848', '88', '100', '630000019', '21379', '0'),
('2332', '108', '26', '49000001', '5018', '473'),
('2878', '32', '85', '730000019', '7148', '773'),
('2655', '48', '69', '70999999', '3675', '426'),
('2994', '35', '14', '379999995', '9560', '636'),
('964', '15', '5', '54000001', '405', '97'),
('3514', '2803', '642', '880000019', '1468200', '175000'),
('460', '118', '95', '60', '15956', '1000'),
('3922', '175', '286', '64000001', '24668', '0'),
('2016', '192', '165', '619999981', '81444', '955'),
('3144', '125', '124', '49000001', '16582', '0'),
('3805', '412', '382', '75', '338635', '39000'),
('1169', '151', '81', '70', '12366', '507'),
('1566', '651', '187', '730000019', '65201', '0'),
('4028', '48', '82', '569999981', '5161', '0'),
('2359', '576', '228', '530000019', '94456', '0'),
('4281', '195', '257', '730000019', '150618', '28000'),
('487', '219', '114', '74000001', '119150', '0'),
('3205', '10', '8', '40', '551', '303'),
('1367', '136', '59', '65999999', '4662', '170'),
('2403', '32', '30', '60', '3322', '265'),
('871', '118', '53', '64000001', '63839', '0'),
('3761', '124', '134', '680000019', '52972', '21000'),
('816', '88', '44', '55', '23579', '0'),
('2024', '288', '160', '680000019', '35065', '0'),
('2633', '229', '190', '65999999', '71137', '0'),
('2481', '316', '156', '65999999', '69172', '0'),
('2108', '129', '65', '60999999', '30092', '0'),
('2048', '132', '98', '519999981', '29861', '505'),
('4342', '43', '69', '669999981', '12817', '0'),
('2849', '47', '15', '730000019', '13577', '341'),
('1037', '181', '63', '580000019', '27675', '0'),
('3802', '518', '420', '619999981', '104119', '26000'),
('3204', '115', '217', '70999999', '45992', '7000'),
('3365', '1', '', '619999981', '62', '54'),
